x_mm,efield_bottom,efield_top
-54.9778714378214,-0.203116745139147,-0.205009873273423
-53.7561409614253,-0.196237391303534,-0.199397672572203
-52.5344104850293,-0.199199207449902,-0.207113395864108
-51.3126800086333,-0.217576583762582,-0.19258608529046
-50.0909495322373,-0.224727834293024,-0.188434747606559
-48.8692190558412,-0.216468846175958,-0.181273315923273
-47.6474885794452,-0.216893505172832,-0.17775381650238
-46.4257581030492,-0.230909489461522,-0.172963869980438
-45.2040276266531,-0.234129984703514,-0.179068384289063
-43.9822971502571,-0.227707603533337,-0.16637291669107
-42.7605666738611,-0.230125519884217,-0.149768678086788
-41.538836197465,-0.23121026511562,-0.131261445216853
-40.317105721069,-0.239087924615878,-0.122067954536015
-39.095375244673,-0.232333446656485,-0.109238637954782
-37.8736447682769,-0.228565047693014,-0.090131759220135
-36.6519142918809,-0.213362754285794,-0.0732075345701202
-35.4301838154849,-0.214183740742664,-0.0600252067298255
-34.2084533390889,-0.195781461304602,-0.0472776301410429
-32.9867228626928,-0.189896140282553,0.0461382622812425
-31.7649923862968,-0.169803369648358,0.0595575147011725
-30.5432619099008,-0.148483619352217,0.0873987570608044
-29.3215314335047,-0.132484450906481,0.112103363046378
-28.0998009571087,-0.0934375513327167,0.140304637810985
-26.8780704807127,-0.069815027924775,0.180214559128734
-25.6563400043166,-0.0408482418922898,0.215303906399003
-24.4346095279206,0.0352055799432874,0.25894493177694
-23.2128790515246,0.0597141815190217,0.295652563967805
-21.9911485751286,0.103198299089273,0.334391978984564
-20.7694180987325,0.138409121137085,0.378292778138543
-19.5476876223365,0.191267811431203,0.429639269309582
-18.3259571459405,0.260455167864951,0.468708166513188
-17.1042266695444,0.303797908130798,0.516781611628516
-15.8824961931484,0.394248457353506,0.577134506991877
-14.6607657167524,0.448801476236654,0.659113918016694
-13.4390352403563,0.521778099651246,0.656750116678847
-12.2173047639603,0.558031571864811,0.757665968283861
-10.9955742875643,0.629372928948501,0.741169041406624
-9.77384381116824,0.66787872983056,0.797494471753264
-8.55211333477221,0.758093344037478,0.847028476876791
-7.33038285837618,0.817508993680189,0.84950208785768
-6.10865238198015,0.848260858162965,0.941643003368543
-4.88692190558412,0.8744996182841,0.883338788491412
-3.66519142918809,0.952888427055858,0.902376752616976
-2.44346095279206,0.945531239647712,0.996135856897592
-1.22173047639603,0.958539441427114,1
0,1,0.97071654933471
1.22173047639603,0.946612822646742,0.977043162848671
2.44346095279206,0.957657285377776,0.983027465636868
3.66519142918809,0.97046856563041,0.950095207061319
4.88692190558412,0.913151661035178,0.861238410461711
6.10865238198015,0.837431160351035,0.864340853570632
7.33038285837618,0.806593047816705,0.840160415983676
8.55211333477221,0.76034207923592,0.826832235947026
9.77384381116824,0.751249895986563,0.782723496587582
10.9955742875643,0.693932620735869,0.749454984962439
12.2173047639603,0.616062124271839,0.687164700231981
13.4390352403563,0.553426209543699,0.630528928605996
14.6607657167524,0.505204306157276,0.600010136698337
15.8824961931484,0.433276846209647,0.543920117236719
17.1042266695444,0.378923938639855,0.50834435030307
18.3259571459405,0.331548008816626,0.418067893273549
19.5476876223365,0.269695174905902,0.394293197183373
20.7694180987325,0.224819965938182,0.360766695272583
21.9911485751286,0.169943656905764,0.298586207591867
23.2128790515246,0.118372684513561,0.260982927517921
24.4346095279206,0.0782083608338712,0.20529657837406
25.6563400043166,0.0354862831268212,0.177273689225342
